Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,total_runs
1,SC Ganguly,08-Jul-72,Left_Hand,Right-arm medium,India,0,5426
2,BB McCullum,27-Sep-81,Right_Hand,Right-arm medium,New Zealand,0,5386
3,RT Ponting,19-Dec-74,Right_Hand,Right-arm medium,Australia,0,4902
4,DJ Hussey,15-Jul-77,Right_Hand,Right-arm offbreak,Australia,0,4717
5,Mohammad Hafeez,17-Oct-80,Right_Hand,Right-arm offbreak,Pakistan,0,4601
6,R Dravid,11-Jan-73,Right_Hand,Right-arm offbreak,India,0,4525
7,W Jaffer,16-Feb-78,Right_Hand,Right-arm offbreak,India,0,4450
8,V Kohli,05-Nov-88,Right_Hand,Right-arm medium,India,0,4420
9,JH Kallis,16-Oct-75,Right_Hand,Right-arm fast-medium,South Africa,0,4414
10,CL White,18-Aug-83,Right_Hand,Legbreak googly,Australia,0,4219
11,MV Boucher,03-Dec-76,Right_Hand,Right-arm medium,South Africa,0,3834
12,B Akhil,07-Oct-77,Right_Hand,Right-arm medium-fast,India,0,3669
13,AA Noffke,30-Apr-77,Right_Hand,Right-arm fast-medium,Australia,0,3590
14,P Kumar,02-Oct-86,Right_Hand,Right-arm medium,India,0,3313
15,Z Khan,07-Oct-78,Right_Hand,Left-arm fast-medium,India,0,3222
16,SB Joshi,06-Jun-70,Left_Hand,Slow left-arm orthodox,India,0,2886
17,PA Patel,09-Mar-85,Left_Hand,NULL,India,0,2864
18,ML Hayden,29-Oct-71,Left_Hand,Right-arm medium,Australia,0,2855
19,MEK Hussey,27-May-75,Left_Hand,Right-arm medium,Australia,0,2772
20,MS Dhoni,07-Jul-81,Right_Hand,Right-arm medium,India,0,2755
21,SK Raina,27-Nov-86,Left_Hand,Right-arm offbreak,India,0,2728
22,JDP Oram,28-Jul-78,Left_Hand,Right-arm fast-medium,New Zealand,0,2589
23,S Badrinath,30-Aug-80,Right_Hand,Right-arm offbreak,India,0,2489
24,K Goel,24-Dec-86,Left_Hand,Right-arm offbreak,India,0,2427
25,JR Hopes,24-Oct-78,Right_Hand,Right-arm medium,Australia,0,2385
26,KC Sangakkara,27-Oct-77,Left_Hand,Right-arm offbreak,Sri Lanka,0,2334
27,Yuvraj Singh,12-Dec-81,Left_Hand,Slow left-arm orthodox,India,0,2215
28,SM Katich,21-Aug-75,Left_Hand,Slow left-arm chinaman,Australia,0,2174
29,IK Pathan,27-Oct-84,Left_Hand,Left-arm medium-fast,India,0,2069
30,T Kohli,17-Dec-88,Right_Hand,Right-arm medium,India,0,2038
31,YK Pathan,17-Nov-82,Right_Hand,Right-arm offbreak,India,0,2031
32,SR Watson,17-Jun-81,Right_Hand,Right-arm fast-medium,Australia,0,1988
33,M Kaif,01-Dec-80,Right_Hand,Right-arm offbreak,India,0,1977
34,DS Lehmann,05-Feb-70,Left_Hand,Slow left-arm orthodox,Australia,0,1931
35,RA Jadeja,06-Dec-88,Left_Hand,Slow left-arm orthodox,India,0,1861
36,M Rawat,25-Oct-85,Right_Hand,NULL,India,0,1858
37,D Salunkhe,12-Nov-82,Right_Hand,Legbreak,India,0,1808
38,SK Warne,13-Sep-69,Right_Hand,Legbreak googly,Australia,0,1767
39,SK Trivedi,04-Sep-82,Right_Hand,Right-arm medium,India,0,1767
40,G Gambhir,14-Oct-81,Left_Hand,Legbreak,India,0,1741
41,V Sehwag,20-Oct-78,Right_Hand,Right-arm offbreak,India,0,1696
42,S Dhawan,05-Dec-85,Left_Hand,Right-arm offbreak,India,0,1695
43,L Ronchi,23-Apr-81,Right_Hand,NULL,Australia,0,1687
44,ST Jayasuriya,30-Jun-69,Left_Hand,Slow left-arm orthodox,Sri Lanka,0,1555
45,DJ Thornely,01-Oct-78,Right_Hand,Right-arm medium,Australia,0,1535
46,RV Uthappa,11-Nov-85,Right_Hand,Right-arm medium,India,0,1494
47,PR Shah,03-Nov-87,Right_Hand,NULL,India,0,1478
48,AM Nayar,08-Oct-83,Left_Hand,Right-arm medium,India,0,1465
49,SM Pollock,16-Jul-73,Right_Hand,Right-arm fast-medium,South Africa,0,1441
50,Harbhajan Singh,03-Jul-80,Right_Hand,Right-arm offbreak,India,0,1415
51,S Chanderpaul,16-Aug-74,Left_Hand,Legbreak,West Indies,0,1401
52,LRPL Taylor,08-Mar-84,Right_Hand,Right-arm offbreak,New Zealand,0,1400
53,AC Gilchrist,14-Nov-71,Left_Hand,Right-arm offbreak,Australia,0,1396
54,Y Venugopal Rao,26-Feb-82,Right_Hand,Right-arm offbreak,India,0,1349
55,VVS Laxman,01-Nov-74,Right_Hand,Right-arm offbreak,India,0,1322
56,A Symonds,09-Jun-75,Right_Hand,Right-arm offbreak,Australia,0,1309
57,RG Sharma,30-Apr-87,Right_Hand,Right-arm offbreak,India,0,1288
58,SB Styris,10-Jul-75,Right_Hand,Right-arm medium,New Zealand,0,1276
59,SB Bangar,11-Oct-72,Right_Hand,Right-arm medium-fast,India,0,1269
60,WPUJC Vaas,27-Jan-74,Left_Hand,Left-arm fast-medium,Sri Lanka,0,1153
61,RP Singh,06-Dec-85,Right_Hand,Left-arm fast-medium,India,0,1150
62,WP Saha,24-Oct-84,Right_Hand,NULL,India,0,1107
63,LR Shukla,06-May-81,Right_Hand,Right-arm medium,India,0,1093
64,DPMD Jayawardene,27-May-77,Right_Hand,Right-arm medium,Sri Lanka,0,1087
65,S Sohal,10-Nov-87,Right_Hand,Legbreak,India,0,1082
66,B Lee,08-Nov-76,Right_Hand,Right-arm fast,Australia,0,1079
67,PP Chawla,24-Dec-88,Left_Hand,Legbreak,India,0,1017
68,WA Mota,20-Sep-81,Right_Hand,Right-arm medium,India,0,1013
69,Kamran Akmal,13-Jan-82,Right_Hand,NULL,Pakistan,0,1001
70,Shahid Afridi,01-Mar-80,Right_Hand,Legbreak googly,Pakistan,0,995
71,DJ Bravo,07-Oct-83,Right_Hand,Right-arm medium-fast,West Indies,0,985
72,MA Khote,22-Apr-80,Right_Hand,Right-arm medium,India,0,975
73,A Nehra,29-Apr-79,Right_Hand,Left-arm medium-fast,India,0,974
74,GC Smith,01-Feb-81,Left_Hand,Right-arm offbreak,South Africa,0,971
75,Pankaj Singh,06-May-85,Right_Hand,Right-arm medium-fast,India,0,969
76,RR Sarwan,23-Jun-80,Right_Hand,Legbreak,West Indies,0,897
77,S Sreesanth,06-Feb-83,Right_Hand,Right-arm fast-medium,India,0,886
78,VRV Singh,17-Sep-84,Right_Hand,Right-arm medium-fast,India,0,880
79,SS Tiwary,30-Dec-89,Left_Hand,NULL,India,0,854
80,DS Kulkarni,10-Dec-88,Right_Hand,Right-arm medium,India,0,831
81,R Vinay Kumar,12-Feb-84,Right_Hand,Right-arm medium,India,0,800
82,AB Agarkar,04-Dec-77,Right_Hand,Right-arm fast,India,0,798
83,M Kartik,11-Sep-76,Left_Hand,Slow left-arm orthodox,India,0,785
84,I Sharma,02-Sep-88,Right_Hand,Right-arm fast-medium,India,0,768
85,AM Rahane,06-Jun-88,Right_Hand,Right-arm medium,India,0,761
86,Shoaib Malik,01-Feb-82,Right_Hand,Right-arm offbreak,Pakistan,0,750
87,MK Tiwary,14-Nov-85,Right_Hand,Legbreak googly,India,0,739
88,KD Karthik,01-Jun-85,Right_Hand,NULL,India,0,724
89,R Bhatia,22-Oct-79,Right_Hand,Right-arm medium-fast,India,0,701
90,MF Maharoof,07-Sep-84,Right_Hand,Right-arm fast-medium,India,0,676
91,VY Mahesh,21-Dec-87,Right_Hand,Right-arm medium-fast,India,0,672
92,TM Srivastava,07-Nov-89,Left_Hand,Right-arm medium,India,0,663
93,B Chipli,27-Jan-83,Right_Hand,Right-arm medium,India,0,641
94,DW Steyn,27-Jun-83,Right_Hand,Right-arm fast,South Africa,0,608
95,DB Das,22-Sep-86,Right_Hand,Legbreak googly,India,0,604
96,MK Pandey,10-Sep-89,Right_Hand,Right-arm medium,India,0,604
97,HH Gibbs,23-Feb-74,Right_Hand,Right-arm bowler,South Africa,0,584
98,DNT Zoysa,13-May-78,Left_Hand,Left-arm fast-medium,Sri Lanka,0,577
99,D Kalyankrishna,16-Dec-83,Right_Hand,Right-arm medium-fast,India,0,563
100,SE Marsh,09-Jul-83,Left_Hand,Slow left-arm orthodox,Australia,0,538
101,SA Asnodkar,29-Mar-84,Right_Hand,Right-arm offbreak,India,0,531
102,Sohail Tanvir,12-Dec-84,Left_Hand,Left-arm medium-fast,Pakistan,0,527
103,Salman Butt,07-Oct-84,Left_Hand,Right-arm offbreak,Pakistan,0,526
104,BJ Hodge,29-Dec-74,Right_Hand,Right-arm offbreak,Australia,0,519
105,Umar Gul,14-Apr-84,Right_Hand,Right-arm fast-medium,Pakistan,0,514
106,AB Dinda,25-Mar-84,Right_Hand,Right-arm medium-fast,India,0,510
107,SP Fleming,01-Apr-73,Left_Hand,NULL,New Zealand,0,506
108,S Vidyut,03-Dec-81,Left_Hand,Slow left-arm orthodox,India,0,505
109,JA Morkel,10-Jun-81,Left_Hand,Right-arm medium-fast,South Africa,0,476
110,AB de Villiers,17-Feb-84,Right_Hand,Right-arm medium,South Africa,0,459
111,LPC Silva,14-Dec-79,Right_Hand,Legbreak,Sri Lanka,0,448
112,DB Ravi Teja,05-Sep-87,Right_Hand,Legbreak googly,India,0,443
113,Misbah-ul-Haq,28-May-74,Right_Hand,Legbreak,Pakistan,0,437
114,YV Takawale,05-Nov-84,Right_Hand,NULL,India,0,424
115,RR Raje,03-Sep-86,Right_Hand,Right-arm fast-medium,India,0,423
116,PJ Sangwan,05-Nov-90,Right_Hand,Left-arm medium,India,0,417
117,Mohammad Asif,20-Dec-82,Left_Hand,Right-arm fast-medium,Pakistan,0,412
118,GD McGrath,09-Feb-70,Right_Hand,Right-arm fast-medium,Australia,0,409
119,Joginder Sharma,23-Oct-83,Right_Hand,Right-arm fast-medium,India,0,405
120,MS Gony,04-Jan-84,Right_Hand,Right-arm medium,India,0,401
121,M Muralitharan,17-Apr-72,Right_Hand,Right-arm offbreak,Sri Lanka,0,394
122,M Ntini,06-Jul-77,Right_Hand,Right-arm fast,South Africa,0,390
123,DT Patil,06-Dec-84,Right_Hand,NULL,India,0,388
124,A Kumble,17-Oct-70,Right_Hand,Legbreak googly,India,0,376
125,S Anirudha,14-Apr-87,Right_Hand,NULL,India,0,375
126,MM Patel,12-Jul-83,Right_Hand,Right-arm medium-fast,India,0,368
127,CK Kapugedera,24-Feb-87,Right_Hand,Right-arm medium,Sri Lanka,0,366
128,A Chopra,19-Sep-77,Right_Hand,Right-arm offbreak,India,0,365
129,T Taibu,14-May-83,Right_Hand,Right-arm medium,Zimbabwea,0,342
130,J Arunkumar,18-Jan-75,Right_Hand,Right-arm offbreak,India,0,340
131,PP Ojha,05-Sep-86,Left_Hand,Slow left-arm orthodox,India,0,339
132,SP Goswami,18-May-89,Left_Hand,NULL,India,0,337
133,SR Tendulkar,24-Apr-73,Right_Hand,Right-arm offbreak,India,0,327
134,U Kaul,02-Dec-87,Left_Hand,NULL,India,0,326
135,TM Dilshan,14-Oct-76,Right_Hand,Right-arm offbreak,Sri Lanka,0,317
136,A Mishra,24-Nov-82,Right_Hand,Legbreak,India,0,310
137,AD Mascarenhas,30-Oct-77,Right_Hand,Right-arm fast-medium,England,0,304
138,NK Patel,26-Mar-81,Left_Hand,NULL,India,0,304
139,LA Pomersbach,28-Sep-84,Left_Hand,Right-arm offbreak,Australia,0,302
140,Iqbal Abdulla,02-Dec-89,Left_Hand,Slow left-arm orthodox,India,0,302
141,Younis Khan,29-Nov-77,Right_Hand,Right-arm medium,Pakistan,0,300
142,PM Sarvesh Kumar,26-Apr-89,Right_Hand,Right-arm medium,India,0,295
143,DP Vijaykumar,20-Oct-86,Right_Hand,Right-arm medium,India,0,295
144,Shoaib Akhtar,13-Aug-75,Right_Hand,Right-arm fast,Pakistan,0,285
145,Abdur Razzak,15-Jun-82,Left_Hand,Slow left-arm orthodox,Bangladesh,0,282
146,H Das,10-Dec-86,Right_Hand,NULL,India,0,280
147,DR Smith,12-Apr-83,Right_Hand,Right-arm medium,West Indies,0,280
148,SD Chitnis,06-May-87,Right_Hand,Right-arm offbreak,India,0,280
149,CRD Fernando,19-Jul-79,Right_Hand,Right-arm fast-medium,Sri Lanka,0,278
150,VS Yeligati,23-Apr-85,Right_Hand,Right-arm offbreak,India,0,271
151,L Balaji,27-Sep-81,Right_Hand,Right-arm medium-fast,India,0,270
152,A Mukund,06-Jan-90,Left_Hand,Legbreak googly,India,0,259
153,RR Powar,20-May-78,Right_Hand,Right-arm offbreak,India,0,241
154,JP Duminy,14-Apr-84,Left_Hand,Right-arm offbreak,South Africa,0,239
155,A Flintoff,06-Dec-77,Right_Hand,Right-arm fast-medium,England,0,237
156,T Thushara,01-Mar-81,Left_Hand,Left-arm fast-medium,Sri Lanka,0,225
157,JD Ryder,06-Aug-84,Left_Hand,Right-arm medium,New Zealand,0,218
158,KP Pietersen,27-Jun-80,Right_Hand,Right-arm offbreak,South Africa,0,217
159,T Henderson,01-Aug-74,Right_Hand,Right-arm fast-medium,South Africa,0,205
160,Kamran Khan,10-Mar-91,Left_Hand,Left-arm medium-fast,India,0,203
161,RS Bopara,04-May-85,Right_Hand,Right-arm medium,England,0,198
162,CH Gayle,21-Sep-79,Left_Hand,Right-arm offbreak,West Indies,0,196
163,MC Henriques,01-Feb-87,Right_Hand,Right-arm fast-medium,Australia,0,194
164,R Bishnoi,08-Oct-87,Right_Hand,Right-arm medium-fast,India,0,193
165,FH Edwards,06-Feb-82,Right_Hand,Right-arm fast,West Indies,0,193
166,KV Sharma,23-Oct-87,Left_Hand,Legbreak googly,India,0,192
167,PC Valthaty,07-Dec-83,Right_Hand,Right-arm medium,India,0,187
168,RJ Quiney,20-Aug-82,Left_Hand,Right-arm medium,Australia,0,184
169,AS Raut,03-Mar-87,Right_Hand,Legbreak googly,India,0,184
170,Yashpal Singh,27-Nov-81,Right_Hand,Right-arm medium,India,0,183
171,M Manhas,12-Oct-79,Right_Hand,Right-arm offbreak,India,0,183
172,AA Bilakhia,31-May-86,Right_Hand,Right-arm medium,India,0,182
173,AN Ghosh,19-Oct-86,Right_Hand,Right-arm medium,India,0,181
174,BAW Mendis,11-Mar-85,Right_Hand,Right-arm offbreak,Sri Lanka,0,179
175,DL Vettori,27-Jan-79,Left_Hand,Slow left-arm orthodox,New Zealand,0,178
176,MN van Wyk,20-Mar-79,Right_Hand,Slow left-arm orthodox,South Africa,0,177
177,RE van der Merwe,31-Dec-84,Right_Hand,Slow left-arm orthodox,South Africa,0,170
178,TL Suman,15-Dec-83,Right_Hand,Right-arm offbreak,India,0,170
179,Shoaib Ahmed,17-Aug-90,Right_Hand,Right-arm fast-medium,Pakistan,0,169
180,GR Napier,06-Jan-80,Right_Hand,Right-arm medium,England,0,168
181,KP Appanna,20-Dec-88,Right_Hand,Slow left-arm orthodox,India,0,167
182,LA Carseldine,17-Nov-75,Left_Hand,Left-arm medium,Australia,0,166
183,NV Ojha,20-Jul-83,Right_Hand,NULL,India,0,164
184,SM Harwood,01-Mar-74,Right_Hand,Right-arm fast-medium,Australia,0,161
185,M Vijay,01-Apr-84,Right_Hand,Right-arm offbreak,India,0,161
186,SB Jakati,27-Nov-80,Left_Hand,Slow left-arm orthodox,India,0,160
187,DA Warner,27-Oct-86,Left_Hand,Legbreak,Australia,0,159
188,RJ Harris,11-Oct-79,Right_Hand,Right-arm fast,Australia,0,159
189,D du Preez,08-Nov-81,Right_Hand,Right-arm fast-medium,South Africa,0,153
190,M Morkel,06-Oct-84,Left_Hand,Right-arm fast,South Africa,0,150
191,AD Mathews,02-Jun-87,Right_Hand,Right-arm fast-medium,Sri Lanka,0,147
192,J Botha,02-May-82,Right_Hand,Right-arm offbreak,South Africa,0,145
193,C Nanda,29-Mar-79,Right_Hand,Legbreak,India,0,145
194,SL Malinga,28-Aug-83,Right_Hand,Right-arm fast,Sri Lanka,0,142
195,Mashrafe Mortaza,05-Oct-83,Right_Hand,Right-arm fast-medium,Bangladesh,0,142
196,A Singh,21-Jun-81,Right_Hand,Right-arm medium-fast,India,0,137
197,GJ Bailey,07-Sep-82,Right_Hand,Right-arm medium,Australia,0,136
198,AB McDonald,05-Jun-81,Right_Hand,Right-arm fast-medium,Australia,0,131
199,Y Nagar,06-Jan-90,Right_Hand,Right-arm offbreak,India,0,130
200,SS Shaikh,18-Jan-87,Right_Hand,Right-arm medium,India,0,129
201,R Ashwin,17-Sep-86,Right_Hand,Right-arm offbreak,India,0,5656
202,Mohammad Ashraful,07-Jul-84,Right_Hand,Right-arm offbreak,Bangladesh,0,5426
203,CA Pujara,25-Jan-88,Right_Hand,Legbreak,India,0,5386
204,OA Shah,22-Oct-78,Right_Hand,Right-arm offbreak,England,0,4902
205,Anirudh Singh,02-Aug-80,Left_Hand,Right-arm medium,India,0,4717
206,Jaskaran Singh,04-Sep-89,Right_Hand,Right-arm medium,India,0,4601
207,AP Tare,07-Nov-87,Right_Hand,NULL,India,0,4525
208,AT Rayudu,23-Sep-85,Right_Hand,Right-arm offbreak,India,0,4450
209,R Sathish,14-Jan-81,Right_Hand,Right-arm medium,India,0,4420
210,R McLaren,09-Feb-83,Left_Hand,Right-arm medium-fast,South Africa,0,4414
211,AA Jhunjhunwala,01-Dec-82,Right_Hand,Right-arm offbreak,India,0,4219
212,P Dogra,19-Nov-84,Right_Hand,Legbreak,India,0,3834
213,A Uniyal,21-Nov-81,Left_Hand,Left-arm medium,India,0,3669
214,MS Bisla,27-Dec-84,Right_Hand,NULL,India,0,3590
215,YA Abdulla,17-Jan-83,Left_Hand,Left-arm fast-medium,India,0,3313
216,EJG Morgan,10-Sep-86,Left_Hand,Right-arm medium,England,0,3222
217,JM Kemp,02-Oct-77,Right_Hand,Right-arm fast-medium,South Africa,0,2886
218,S Tyagi,17-Sep-87,Right_Hand,Right-arm medium,India,0,2864
219,RS Gavaskar,20-Feb-76,Left_Hand,Slow left-arm orthodox,India,0,2855
220,SE Bond,07-Jun-75,Right_Hand,Right-arm fast,New Zealand,0,2772
221,KA Pollard,12-May-87,Right_Hand,Right-arm medium-fast,West Indies,0,2755
222,S Ladda,10-Jul-86,Right_Hand,Legbreak,India,0,2728
223,DP Nannes,16-May-76,Right_Hand,Left-arm fast,Australia,0,2589
224,MJ Lumb,12-Feb-80,Left_Hand,Right-arm medium,England,0,2489
225,DR Martyn,21-Oct-71,Right_Hand,Right-arm medium,Australia,0,2427
226,S Narwal,16-Apr-82,Left_Hand,Right-arm medium,India,0,2385
227,AB Barath,14-Apr-90,Right_Hand,Right-arm offbreak,India,0,2334
228,Bipul Sharma,28-Sep-83,Left_Hand,Slow left-arm orthodox,India,0,2215
229,FY Fazal,07-Sep-85,Left_Hand,Right-arm medium,India,0,2174
230,AC Voges,04-Oct-79,Right_Hand,Slow left-arm orthodox,Australia,0,2069
231,MD Mishra,09-Feb-84,Right_Hand,Right-arm offbreak,India,0,2038
232,UT Yadav,25-Oct-87,Right_Hand,Right-arm fast-medium,India,0,2031
233,J Theron,24-Jul-85,Right_Hand,Right-arm medium-fast,South Africa,0,1988
234,SJ Srivastava,22-Sep-81,Right_Hand,Left-arm fast-medium,India,0,1977
235,R Sharma,30-Apr-87,Right_Hand,Right-arm offbreak,India,0,1931
236,Mandeep Singh,18-Dec-91,Right_Hand,Right-arm medium,India,0,1861
237,KM Jadhav,26-Mar-85,Right_Hand,Right-arm offbreak,India,0,1858
238,SW Tait,22-Feb-83,Right_Hand,Right-arm fast,Australia,0,1808
239,KB Arun Karthik,15-Feb-86,Right_Hand,Legbreak googly,India,0,1767
240,KAJ Roach,30-Jun-88,Right_Hand,Right-arm fast,West Indies,0,1767
241,PD Collingwood,26-May-76,Right_Hand,Right-arm medium,England,0,1741
242,CK Langeveldt,17-Dec-74,Right_Hand,Right-arm fast-medium,England,0,1696
243,VS Malik,09-May-83,Right_Hand,Right-arm medium,India,0,1695
244,A Mithun,25-Oct-89,Right_Hand,Right-arm medium,India,0,1687
245,AP Dole,09-Oct-87,Right_Hand,Right-arm medium-fast,India,0,1555
246,AN Ahmed,05-Nov-88,Right_Hand,Right-arm medium-fast,India,0,1535
247,RS Sodhi,18-Oct-80,Right_Hand,Right-arm medium,India,0,1494
248,DE Bollinger,24-Jul-81,Left_Hand,Left-arm fast-medium,Australia,0,1478
249,S Sriram,21-Feb-76,Left_Hand,Slow left-arm orthodox,India,0,1465
250,B Sumanth,10-May-88,Right_Hand,Right-arm medium-fast,India,0,1441
251,C Madan,15-Oct-82,Right_Hand,NULL,India,0,1415
252,AG Paunikar,18-Apr-88,Right_Hand,NULL,India,0,1401
253,MR Marsh,20-Oct-91,Right_Hand,Right-arm medium,Australia,0,1400
254,AJ Finch,17-Nov-86,Right_Hand,Slow left-arm orthodox,Australia,0,1396
255,STR Binny,03-Jun-84,Right_Hand,Right-arm medium,India,0,1349
256,Harmeet Singh,07-Sep-92,Left_Hand,Slow left-arm orthodox,India,0,1322
257,IR Jaggi,27-Jan-89,Right_Hand,Legbreak googly,India,0,1309
258,DT Christian,04-May-83,Right_Hand,Right-arm fast-medium,Australia,0,1288
