Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,total_runs
259,RV Gomez,16-Oct-85,Right_Hand,Right-arm medium,India,0,1276
260,MA Agarwal,16-Feb-91,Right_Hand,NULL,India,0,1269
261,AUK Pathan,17-Jun-84,Right_Hand,Right-arm medium,India,0,1153
262,UBT Chand,26-Mar-93,Right_Hand,Right-arm offbreak,India,0,1150
263,DJ Jacobs,04-Nov-82,Right_Hand,Right-arm medium,South Africa,0,1107
264,Sunny Singh,18-Dec-86,Right_Hand,Right-arm medium-fast,India,0,1093
265,NJ Rimmington,11-Nov-82,Right_Hand,Right-arm fast-medium,Australia,0,1087
266,AL Menaria,29-Oct-90,Left_Hand,Slow left-arm orthodox,India,0,1082
267,WD Parnell,30-Jul-89,Left_Hand,Left-arm medium-fast,South Africa,0,1079
268,JJ van der Wath,10-Jan-78,Right_Hand,Right-arm medium-fast,South Africa,0,1017
269,R Ninan,19-Nov-85,Right_Hand,Right-arm offbreak,India,0,1013
270,S Aravind,08-Apr-84,Left_Hand,Left-arm medium-fast,India,0,1001
271,MS Wade,26-Dec-87,Left_Hand,Right-arm medium,Australia,0,995
272,TD Paine,08-Dec-84,Right_Hand,Right-arm medium,Australia,0,985
273,SB Wagh,09-Oct-88,Left_Hand,Left-arm medium-fast,India,0,975
274,AC Thomas,09-Feb-77,Right_Hand,Right-arm fast-medium,England,0,974
275,JEC Franklin,07-Nov-80,Left_Hand,Left-arm medium,New Zealand,0,971
276,Shakib Al Hasan,24-Mar-87,Left_Hand,Slow left-arm orthodox,Bangladesh,0,969
277,DH Yagnik,22-Jun-83,Left_Hand,NULL,India,0,897
278,S Randiv,30-Jan-85,Right_Hand,Right-arm offbreak,Sri Lanka,0,886
279,BJ Haddin,23-Oct-77,Right_Hand,NULL,Australia,0,880
280,NLTC Perera,03-Apr-89,Left_Hand,Right-arm medium-fast,Sri Lanka,0,854
281,NL McCullum,01-Sep-80,Right_Hand,Right-arm offbreak,New Zealand,0,831
282,JE Taylor,22-Jun-84,Right_Hand,Right-arm fast,New Zealand,0,800
283,J Syed Mohammad,03-Jun-83,Left_Hand,Slow left-arm orthodox,India,0,798
284,RN ten Doeschate,30-Jun-80,Right_Hand,Right-arm medium-fast,Netherlands,0,785
285,TR Birt,09-Dec-81,Left_Hand,Right-arm medium,Australia,0,768
286,AG Murtaza,01-Jan-90,Left_Hand,Slow left-arm orthodox,India,0,761
287,Harpreet Singh,11-Aug-91,Left_Hand,Right-arm medium,India,0,750
288,M Klinger,04-Jul-80,Right_Hand,NULL,Australia,0,739
289,AC Blizzard,27-Jun-84,Left_Hand,Left-arm medium,Australia,0,724
290,I Malhotra,23-May-84,Right_Hand,Right-arm medium-fast,India,0,701
291,L Ablish,03-Dec-82,Right_Hand,Right-arm medium-fast,India,0,676
292,CA Ingram,03-Jul-85,Left_Hand,Legbreak,South Africa,0,672
293,S Nadeem,12-Aug-89,Right_Hand,Slow left-arm orthodox,India,0,663
294,P Parameswaran,30-May-85,Right_Hand,Left-arm medium,India,0,641
295,CJ Ferguson,21-Nov-84,Right_Hand,Right-arm medium,Australia,0,608
296,VR Aaron,29-Oct-89,Right_Hand,Right-arm fast,India,0,604
297,AA Chavan,28-Oct-85,Left_Hand,Slow left-arm orthodox,India,0,604
298,ND Doshi,06-Oct-78,Right_Hand,Slow left-arm orthodox,India,0,584
299,B Kumar,05-Feb-90,Right_Hand,Right-arm medium,India,0,577
300,Y Gnaneswara Rao,25-Aug-84,Right_Hand,Right-arm medium,India,0,563
301,S Rana,18-Sep-84,Right_Hand,Right-arm medium-fast,India,0,538
302,BA Bhatt,13-May-90,Left_Hand,Slow left-arm orthodox,India,0,531
303,F du Plessis,13-Jul-84,Right_Hand,Legbreak,South Africa,0,527
304,RE Levi,14-Jan-88,Right_Hand,Right-arm medium,South Africa,0,526
305,GJ Maxwell,14-Oct-88,Right_Hand,Right-arm offbreak,Australia,0,519
306,SPD Smith,02-Jun-89,Right_Hand,Legbreak googly,India,0,514
307,MN Samuels,05-Feb-81,Right_Hand,Right-arm offbreak,West Indies,0,510
308,SA Yadav,14-Sep-90,Right_Hand,Right-arm offbreak,India,0,506
309,KK Cooper,16-Feb-89,Right_Hand,Right-arm medium,West Indies,0,505
310,JP Faulkner,29-Apr-90,Right_Hand,Left-arm fast-medium,Australia,0,476
311,HV Patel,23-Nov-90,Right_Hand,Right-arm medium,India,0,459
312,DAJ Bracewell,28-Sep-90,Right_Hand,Right-arm fast-medium,New Zealand,0,448
313,DJ Harris,31-Dec-79,Right_Hand,Right-arm medium,Australia,0,443
314,Ankit Sharma,20-Apr-91,Left_Hand,Slow left-arm orthodox,India,0,437
315,SP Narine,26-May-88,Left_Hand,Right-arm offbreak,West Indies,0,424
316,GB Hogg,06-Feb-71,Left_Hand,Slow left-arm chinaman,Australia,0,423
317,RR Bhatkal,01-Sep-85,Right_Hand,Right-arm medium,India,0,417
318,CJ McKay,20-Feb-83,Right_Hand,Right-arm fast-medium,Australia,0,412
319,N Saini,28-Oct-88,Right_Hand,NULL,India,0,409
320,DA Miller,10-Jun-89,Left_Hand,Right-arm offbreak,South Africa,0,405
321,Azhar Mahmood,28-Feb-75,Right_Hand,Right-arm fast-medium,Pakistan,0,401
322,P Negi,06-Jan-93,Left_Hand,Slow left-arm orthodox,India,0,394
323,RJ Peterson,04-Aug-79,Left_Hand,Slow left-arm orthodox,South Africa,0,390
324,KMDN Kulasekara,22-Jul-82,Right_Hand,Right-arm fast-medium,Sri Lanka,0,388
325,A Ashish Reddy,24-Feb-91,Right_Hand,Right-arm medium,India,0,376
326,V Pratap Singh,03-May-92,Right_Hand,Right-arm medium,India,0,375
327,BB Samantray,14-Dec-88,Right_Hand,NULL,India,0,368
328,MJ Clarke,02-Apr-81,Right_Hand,Slow left-arm orthodox,Australia,0,366
329,Gurkeerat Singh,29-Jun-90,Right_Hand,Right-arm offbreak,India,0,365
330,AP Majumdar,30-Apr-84,Right_Hand,Legbreak googly,India,0,342
331,PA Reddy,11-Feb-91,Right_Hand,Legbreak,India,0,340
332,K Upadhyay,18-Jun-86,Right_Hand,Right-arm medium,India,0,339
333,P Awana,19-Jul-86,Right_Hand,Right-arm medium,India,0,337
334,AD Russell,29-Apr-88,Right_Hand,Right-arm fast,West Indies,0,327
335,A Chandila,05-Dec-83,Right_Hand,Right-arm offbreak,India,0,326
336,CA Lynn,10-Apr-90,Right_Hand,Slow left-arm orthodox,Australia,0,317
337,Sunny Gupta,27-Sep-88,Right_Hand,Right-arm offbreak,India,0,310
338,MC Juneja,12-Sep-90,Right_Hand,Right-arm offbreak,India,0,304
339,KK Nair,06-Dec-91,Right_Hand,Right-arm offbreak,India,0,304
340,GH Vihari,13-Oct-93,Right_Hand,Right-arm offbreak,India,0,302
341,MDKJ Perera,17-Aug-90,Left_Hand,NULL,Sri Lanka,0,302
342,R Shukla,28-Aug-90,Right_Hand,Right-arm medium,India,0,300
343,B Laughlin,03-Oct-82,Right_Hand,Right-arm fast-medium,Australia,0,295
344,AS Rajpoot,04-Dec-93,Right_Hand,Right-arm medium,India,0,295
345,M Vohra,18-Jul-93,Right_Hand,Right-arm medium,India,0,285
346,JD Unadkat,18-Oct-91,Right_Hand,Left-arm medium,India,0,282
347,Mohammed Shami,03-Sep-90,Right_Hand,Right-arm fast-medium,India,0,280
348,BMAJ Mendis,15-Jan-83,Left_Hand,Legbreak,Sri Lanka,0,280
349,R Rampaul,15-Oct-84,Left_Hand,Right-arm fast-medium,West Indies,0,280
350,CH Morris,30-Apr-87,Right_Hand,Right-arm fast-medium,South Africa,0,278
351,SV Samson,11-Nov-94,Right_Hand,NULL,India,0,271
352,SMSM Senanayake,09-Feb-85,Right_Hand,Right-arm offbreak,Sri Lanka,0,270
353,BJ Rohrer,26-Mar-81,Left_Hand,NULL,Australia,0,259
354,KL Rahul,18-Apr-92,Right_Hand,NULL,India,0,241
355,Q de Kock,17-Dec-92,Left_Hand,NULL,South Africa,0,239
356,R Dhawan,19-Feb-90,Right_Hand,Right-arm medium-fast,India,0,237
357,MG Johnson,02-Nov-81,Left_Hand,Left-arm fast,Australia,0,225
358,LJ Wright,07-Mar-85,Right_Hand,Right-arm medium-fast,England,0,218
359,IC Pandey,15-Aug-89,Right_Hand,Right-arm medium,India,0,217
360,CM Gautam,08-Mar-86,Right_Hand,NULL,India,0,205
361,X Thalaivan Sargunam,15-May-85,Right_Hand,Right-arm offbreak,India,0,203
362,DJG Sammy,20-Dec-83,Right_Hand,Right-arm medium-fast,West Indies,0,198
363,KW Richardson,12-Feb-91,Right_Hand,Right-arm fast-medium,Australia,0,196
364,MM Sharma,18-Sep-88,Right_Hand,Right-arm medium,India,0,194
365,UA Birla,17-Nov-89,Right_Hand,Right-arm medium,India,0,193
366,Parvez Rasool,13-Feb-89,Right_Hand,Right-arm offbreak,India,0,193
367,Sandeep Sharma,18-May-93,Right_Hand,Right-arm medium,India,0,192
368,S Kaul,19-May-90,Right_Hand,Right-arm medium,India,0,187
369,Sachin Baby,18-Dec-88,Left_Hand,Right-arm offbreak,India,0,184
370,PV Tambe,08-Oct-71,Right_Hand,Legbreak,India,0,184
371,NM Coulter-Nile,11-Oct-87,Right_Hand,Right-arm fast,Australia,0,183
372,CJ Anderson,13-Dec-90,Left_Hand,Left-arm medium-fast,New Zealand,0,183
373,NJ Maddinson,21-Dec-91,Left_Hand,Slow left-arm orthodox,Australia,0,182
374,AR Patel,20-Jan-94,Left_Hand,Slow left-arm orthodox,India,0,181
375,JJ Bumrah,06-Dec-93,Right_Hand,Right-arm medium,India,0,179
376,JDS Neesham,17-Sep-90,Left_Hand,Right-arm medium,New Zealand,0,178
377,TG Southee,11-Dec-88,Right_Hand,Right-arm medium-fast,New Zealand,0,177
378,MA Starc,30-Jan-90,Left_Hand,Left-arm fast,Australia,0,170
379,BR Dunk,11-Mar-87,Left_Hand,NULL,Australia,0,170
380,RR Rossouw,09-Oct-89,Left_Hand,Right-arm offbreak,South Africa,0,169
381,Shivam Sharma,09-Sep-93,Right_Hand,Right-arm offbreak,India,0,168
382,YS Chahal,23-Jul-90,Right_Hand,Legbreak googly,India,0,167
383,LMP Simmons,25-Jan-85,Right_Hand,Right-arm medium-fast,West Indies,0,166
384,VH Zol,23-Nov-94,Left_Hand,Right-arm offbreak,India,0,164
385,BCJ Cutting,30-Jan-87,Right_Hand,Right-arm fast-medium,Australia,0,161
386,Imran Tahir,27-Mar-79,Right_Hand,Legbreak googly,India,0,161
387,BE Hendricks,08-Jun-90,Left_Hand,Left-arm fast-medium,South Africa,0,160
388,S Gopal,04-Sep-93,Right_Hand,Legbreak,India,0,159
389,M de Lange,13-Oct-90,Right_Hand,Right-arm fast,South Africa,0,159
390,R Tewatia,20-May-93,Left_Hand,Legbreak,India,0,153
391,JO Holder,05-Nov-91,Right_Hand,Right-arm medium-fast,West Indies,0,150
392,Karanveer Singh,08-Nov-87,Right_Hand,Legbreak googly,India,0,147
393,SS Iyer,06-Dec-94,Right_Hand,Legbreak googly,India,0,145
394,DJ Hooda,19-Apr-95,Right_Hand,Right-arm offbreak,India,0,145
395,Anureet Singh,02-Mar-88,Right_Hand,Right-arm medium,India,0,142
396,KS Williamson,08-Aug-90,Right_Hand,Right-arm offbreak,New Zealand,0,142
397,SA Abbott,29-Feb-92,Right_Hand,Right-arm fast-medium,New Zealand,0,137
398,J Suchith,16-Jan-94,Left_Hand,Slow left-arm orthodox,India,0,136
399,RG More,02-Feb-92,Right_Hand,Right-arm medium,India,0,131
400,HH Pandya,11-Oct-93,Right_Hand,Right-arm medium-fast,India,0,130
401,D Wiese,18-May-85,Right_Hand,Right-arm medium-fast,South Africa,0,129
402,SN Khan,27-Oct-97,Right_Hand,Legbreak,India,0,8987
403,MJ McClenaghan,11-Jun-86,Left_Hand,Left-arm fast-medium,New Zealand,0,5426
404,DJ Muthuswami,09-Mar-81,Right_Hand,Right-arm medium,India,0,5386
405,PJ Cummins,08-May-93,Right_Hand,Right-arm fast,Australia,0,4902
406,SN Thakur,16-Oct-91,Right_Hand,Right-arm medium,India,0,4717
407,JC Buttler,08-Sep-90,Right_Hand,NULL,England,0,4601
408,CR Brathwaite,18-Jul-88,Right_Hand,Right-arm fast-medium,West Indies,0,4525
409,MP Stoinis,16-Aug-89,Right_Hand,Right-arm medium,Australia,0,4450
410,Ishan Kishan,18-Jul-98,Left_Hand,NULL,India,0,4420
411,C Munro,11-Mar-87,Left_Hand,Right-arm medium-fast,New Zealand,0,4414
412,P Sahu,21-Aug-85,Right_Hand,Legbreak googly,India,0,4219
413,KH Pandya,24-Mar-91,Left_Hand,Slow left-arm orthodox,India,0,3834
414,AD Nath,10-May-93,Right_Hand,Right-arm medium-fast,India,0,3669
415,MJ Guptill,30-Sep-86,Right_Hand,Right-arm offbreak,New Zealand,0,3590
416,KJ Abbott,18-Jun-87,Right_Hand,Right-arm fast-medium,South Africa,0,3313
417,TM Head,29-Dec-93,Left_Hand,Right-arm offbreak,Australia,0,3222
418,M Ashwin,08-Sep-90,Right_Hand,Legbreak googly,India,0,2886
419,NS Naik,09-Nov-94,Right_Hand,NULL,India,0,2864
420,RR Pant,04-Oct-97,Left_Hand,NULL,India,0,2855
421,SW Billings,15-Jun-91,Right_Hand,NULL,England,0,2772
422,KC Cariappa,13-Apr-94,Right_Hand,Legbreak,India,0,2755
423,PSP Handscomb,26-Apr-91,Right_Hand,NULL,Australia,0,2728
424,Swapnil Singh,22-Jan-91,Right_Hand,Slow left-arm orthodox,India,0,2589
425,J Yadav,22-Jan-90,Right_Hand,Right-arm offbreak,India,0,2489
426,UT Khawaja,18-Dec-86,Left_Hand,Right-arm medium,Australia,0,2427
427,HM Amla,31-Mar-83,Right_Hand,Right-arm offbreak,South Africa,0,2385
428,F Behardien,09-Oct-83,Right_Hand,Right-arm fast-medium,South Africa,0,2334
429,BB Sran,10-Dec-92,Left_Hand,Left-arm medium,India,0,2215
430,A Zampa,31-Mar-92,Right_Hand,Legbreak googly,Australia,0,2174
431,N Rana,27-Dec-93,Left_Hand,Right-arm offbreak,India,0,2069
432,S Kaushik,07-Sep-95,Right_Hand,Slow left-arm chinaman,India,0,2038
433,ER Dwivedi,22-Jul-88,Right_Hand,NULL,India,0,2031
434,CJ Jordan,04-Oct-88,Right_Hand,Right-arm fast-medium,England,0,1988
435,P Amarnath,01-Jun-82,Right_Hand,Right-arm medium,India,0,1977
436,B Geeves,13-Jun-82,Right_Hand,Right-arm fast-medium,Australia,0,1931
437,Gagandeep Singh,03-Oct-81,Right_Hand,Right-arm medium-fast,India,0,1861
438,A Nel,15-Jul-77,Right_Hand,Right-arm fast-medium,South Africa,0,1858
439,AM Salvi,20-Oct-81,Right_Hand,Right-arm medium,India,0,1808
440,RR Bose,27-Feb-79,Right_Hand,Right-arm fast-medium,India,0,1767
441,SS Sarkar,15-Dec-84,Right_Hand,Right-arm medium,India,0,1767
442,RA Shaikh,12-Jun-85,Left_Hand,Left-arm medium,India,0,1741
443,C Ganapathy,10-Jun-81,Right_Hand,Right-arm medium,India,0,1696
444,MB Parmar,12-Apr-88,Right_Hand,Right-arm offbreak,India,0,1695
445,AA Kazi,29-Sep-89,Left_Hand,Slow left-arm orthodox,India,0,1687
446,Anand Rajan,17-Apr-87,Right_Hand,Right-arm medium,India,0,1555
447,P Prasanth,22-May-85,Left_Hand,Slow left-arm orthodox,India,0,1535
448,SS Mundhe,27-Oct-88,Right_Hand,Right-arm medium,India,0,1494
449,RW Price,12-Jun-76,Right_Hand,Slow left-arm orthodox,Zimbabwea,0,1478
450,TP Sudhindra,24-Apr-84,Left_Hand,Right-arm fast,India,0,1465
451,BW Hilfenhaus,15-Mar-83,Right_Hand,Right-arm fast-medium,Australia,0,1441
452,S Badree,09-Mar-81,Right_Hand,Legbreak,West Indies,0,1415
453,P Suyal,15-Oct-89,Right_Hand,Left-arm medium,India,0,1401
454,MG Neser,29-Mar-90,Right_Hand,Right-arm medium,Australia,0,1400
455,V Shankar,26-Jan-91,Right_Hand,Right-arm medium,India,0,1396
456,K Santokie,20-Dec-84,Left_Hand,Left-arm medium,West Indies,0,1349
457,JW Hastings,04-Nov-85,Right_Hand,Right-arm fast-medium,Australia,0,1322
458,TA Boult,22-Jul-89,Right_Hand,Left-arm fast-medium,New Zealand,0,1309
459,GS Sandhu,14-Jun-93,Left_Hand,Right-arm fast-medium,Australia,0,1288
460,Mustafizur Rahman,06-Sep-95,Left_Hand,Left-arm fast-medium,Bangladesh,0,1276
461,AF Milne,13-Apr-92,Right_Hand,Right-arm fast,New Zealand,0,1269
462,Kuldeep Yadav,14-Dec-94,Left_Hand,Slow left-arm chinaman,India,0,1153
463,T Shamsi,18-Feb-90,Right_Hand,Slow left-arm chinaman,South Africa,0,1150
464,SM Boland,11-Apr-89,Right_Hand,Right-arm fast-medium,Australia,0,1107
465,DL Chahar,07-Aug-92,Right_Hand,Right-arm medium,India,0,1093
466,P Dharmani,27-Sep-74,Right_Hand,NULL,India,0,1087
467,RV Pawar,06-Sep-79,Left_Hand,Slow left-arm orthodox,India,0,1082
468,KH Devdhar,14-Dec-89,Right_Hand,NULL,India,0,1079
469,T Mishra,22-Dec-86,Right_Hand,Right-arm fast-medium,India,0,1017
470,Asad Rauf,NULL,NULL,NULL,Pakistan,1,1013
471,MR Benson,NULL,NULL,NULL,England,1,1001
472,Aleem Dar,NULL,NULL,NULL,Pakistan,1,995
473,SJ Davis,NULL,NULL,NULL,England,1,985
474,BF Bowden,NULL,NULL,NULL,New Zealand,1,975
475,IL Howell,NULL,NULL,NULL,South Africa,1,974
476,DJ Harper,NULL,NULL,NULL,Australia,1,971
477,RE Koertzen,NULL,NULL,NULL,South Africa,1,969
478,BR Doctrove,NULL,NULL,NULL,West Indies,1,897
479,AV Jayaprakash,NULL,NULL,NULL,India,1,886
480,BG Jerling,NULL,NULL,NULL,South Africa,1,880
481,M Erasmus,NULL,NULL,NULL,South Africa,1,854
482,HDPK Dharmasena,NULL,NULL,NULL,Sri Lanka,1,831
483,S Asnani,NULL,NULL,NULL,India,1,800
484,GAV Baxter,NULL,NULL,NULL,New Zealand,1,798
485,SS Hazare,NULL,NULL,NULL,India,1,785
486,K Hariharan,NULL,NULL,NULL,India,1,768
487,SL Shastri,NULL,NULL,NULL,India,1,761
488,SK Tarapore,NULL,NULL,NULL,India,1,750
489,S Ravi,NULL,NULL,NULL,India,1,739
490,SJA Taufel,NULL,NULL,NULL,Australia,1,724
491,S Das,NULL,NULL,NULL,India,1,701
492,AM Saheba,NULL,NULL,NULL,India,1,676
493,PR Reiffel,NULL,NULL,NULL,Australia,1,672
494,JD Cloete,NULL,NULL,NULL,South Africa,1,663
495,AK Chaudhary,NULL,NULL,NULL,India,1,641
496,VA Kulkarni,NULL,NULL,NULL,India,1,608
497,BNJ Oxenford,NULL,NULL,NULL,Australia,1,604
498,CK Nandan,NULL,NULL,NULL,India,1,604
499,C Shamshuddin,NULL,NULL,NULL,India,1,584
500,NJ Llong,NULL,NULL,NULL,England,1,577
501,RK Illingworth,NULL,NULL,NULL,England,1,563
502,RM Deshpande,NULL,NULL,NULL,India,1,538
503,K Srinath,NULL,NULL,NULL,India,1,531
504,SD Fry,NULL,NULL,NULL,Australia,1,527
505,CB Gaffaney,NULL,NULL,NULL,New Zealand,1,526
506,PG Pathak,NULL,NULL,NULL,India,1,519
507,Nitin Menon,NULL,NULL,NULL,India,1,514
508,K Bharatan,NULL,NULL,NULL,India,1,510
509,AY Dandekar,NULL,NULL,NULL,India,1,506
510,KN Ananthapadmanabhan,NULL,NULL,NULL,India,1,505
511,A Nand Kishore,NULL,NULL,NULL,India,1,476
512,GA Pratapkumar,NULL,NULL,NULL,India,1,459
513,RB Tiffin,NULL,NULL,NULL,Zimbabwea,1,448
514,I Shivram,NULL,NULL,NULL,India,1,443
515,SD Ranade,NULL,NULL,NULL,India,1,437
516,TH Wijewardene,NULL,NULL,NULL,Sri Lanka,1,424
517,AL Hill,NULL,NULL,NULL,New Zealand,1,423
518,RJ Tucker,NULL,NULL,NULL,Australia,1,417
519,Subroto Das,NULL,NULL,NULL,India,1,412
520,K Srinivasan,NULL,NULL,NULL,India,1,409
521,VK Sharma,NULL,NULL,NULL,India,1,405
523,AV Wankhade,14-Mar-92,Right_Hand,NULL,India,0,401
524,B Aparajith,08-Jul-94,Right_Hand,Right-arm offbreak,India,0,394
525,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
